`,DistName,StateName,mean_RICEAREA_1000Ha_,mean_WHEATAREA_1000Ha_,mean_KHARIFSORGHUMAREA_1000Ha_,mean_RABISORGHUMAREA_1000Ha_,mean_SORGHUMAREA_1000Ha_,mean_PEARLMILLETAREA_1000Ha_,mean_MAIZEAREA_1000Ha_,mean_FINGERMILLETAREA_1000Ha_,mean_BARLEYAREA_1000Ha_,mean_CHICKPEAAREA_1000Ha_,mean_PIGEONPEAAREA_1000Ha_,mean_MINORPULSESAREA_1000Ha_,mean_GROUNDNUTAREA_1000Ha_,mean_SESAMUMAREA_1000Ha_,mean_RAPESEEDANDMUSTARDAREA_1000Ha_,mean_SAFFLOWERAREA_1000Ha_,mean_CASTORAREA_1000Ha_,mean_LINSEEDAREA_1000Ha_,mean_SUNFLOWERAREA_1000Ha_,mean_SOYABEANAREA_1000Ha_,mean_OILSEEDSAREA_1000Ha_,mean_SUGARCANEAREA_1000Ha_,mean_COTTONAREA_1000Ha_,mean_FRUITSAREA_1000Ha_,mean_VEGETABLESAREA_1000Ha_,mean_FRUITSANDVEGETABLESAREA_1000Ha_,mean_POTATOESAREA_1000Ha_,mean_ONIONAREA_1000Ha_,mean_FODDERAREA_1000Ha_,lat,lng
242,Tehri Garhwal,Uttarakhand,14.78525,31.78975,0,0,0,0,1.8565,13.36725,3.2555,0.013,0.7845,4.12,0,0.47375,0.7255,0,0,0,0,2.20625,1.06475,0.00025,0,0.06375,1.8635,1.926,1.01975,0.07375,0.0005,30.4658,78.4837
243,Garhwal,Uttarakhand,22.31475,35.0755,0,0,0,0,2.2775,23.712,7.09825,0.11475,0.389,4.35875,0.006,0.2125,0.69425,0,0,0,0.009,1.76075,0.65525,0.00075,0,0.12225,0.958,1.07975,0.35975,0.3585,0.091,30.2500,79.3333
244,Dehradun,Uttarakhand,13.5115,24.42425,0,0,0,0,11.38625,2.3355,1.55975,0.24575,0.161,2.70225,0.1575,0.44075,1.1325,0,0,0.0045,0.01425,1.10975,1.4865,5.6335,0,2.29075,2.522,4.8115,1.00425,0.01725,2.52025,30.3256,78.0437
601,Cachar,Assam,223.115,0.13375,0,0,0,0,0.12325,0,0,0.07375,0.18675,4.01925,0,0.22775,3.1575,0.061,-0.04125,-0.21825,0,0,4.58475,0.72725,0.185,7.217,12.617,18.8985,4.27425,0.21775,0.07825,24.7586,92.8817
602,Darrang,Assam,311.45975,9.744,0,0,0,0,2.33175,0,0,0.474,0.9935,14.331,0,1.69775,42.62475,0.303,0.03925,0.371,0,0,46.22475,1.767,0.11575,9.07675,27.88375,34.92025,13.24775,0.89925,0.21725,26.4373,92.0047
603,Dibrugarh,Assam,144.56925,2.01175,0,0,0,0,1.94025,0,0,0.0515,0.213,5.15375,0,0.36,16.638,-0.0205,-0.0305,-0.292,0,0,17.536,0.011,0.022,6.792,9.992,16.07775,3.87025,0.09875,1.1625,27.4845,94.9019
604,Goalpara,Assam,378.627,21.9075,0,0,0,0,1.86075,0,0,0.5955,1.15325,19.988,0,2.986,53.64625,0.25825,0.0735,1.01875,0,0,60.66675,0.1525,0.0435,9.8875,27.24475,35.3245,11.04775,1.044,0.3185,26.0492,90.6002
605,Kamrup,Assam,476.65625,18.77825,0,0,0,0,0.821,0,0,0.6855,1.10525,27.087,0,2.95625,47.5255,1.3685,0.10625,2.4075,0,0,62.43425,0.6435,0.10825,15.17675,36.835,49.7525,17.22925,1.2835,0.28675,26.1469,91.2227
606,Karbi Anglong,Assam,119.28125,1.50725,0,0,0,0,10.22425,0,0,0.48075,0.99925,1.8715,0,2.4225,16.268,0.01825,0.29975,-0.241,0,0,17.59325,3.44,0.85125,4.60925,3.79025,8.09475,0.754,0.13325,-0.19725,26.0713,93.4553
607,Lakhimpur,Assam,184.4645,1.98325,0,0,0,0,0.76375,0,0,0.041,0.13625,6.05575,0,0.536,35.02725,0.007,0.227,-0.2765,0,0,34.18025,-0.02625,0.0844999999999999,4.971,13.38175,17.6215,7.96375,0.2245,0.226,27.1763,94.1993
608,North Cachar Hil / Dima hasao,Assam,14.0775,0.039,0,0,0,0,1.61425,0,0,0.0195,0.24,0.56225,0,0.5465,2.2845,-0.045,0.01675,-0.29825,0,0,2.74875,1.1105,0.56475,5.59475,1.7475,7.0735,0.7635,0.0105,-0.1855,26.4074,93.2551
609,Nagaon,Assam,298.34,12.42175,0,0,0,0,0.708,0,0,0.3165,1.7575,13.2205,0,1.5155,30.88275,0.1445,0.01425,0.3125,0,0,36.2205,5.34125,0.1035,7.8075,17.041,23.4355,6.148,0.6775,0.2435,26.3314,92.7525
610,Sibsagar,Assam,286.0515,3.085,0,0,0,0,0.3545,0,0,0.053,0.1965,9.303,0,0.3415,23.9015,0.0035,0.00700000000000001,-0.296,0,0,24.97775,3.00975,0.045,9.0995,16.16375,24.16,4.598,0.3405,0.6805,26.9835,94.6394
626,Bilashpur,Himachal Pradesh,2.31725,25.34825,0,0,0,0.00425,25.42525,0.001,0.29775,0.67325,0.005,0.9065,0.0075,0.2405,0.30975,0,0,0.001,0,0.0145,0.526,0.0635,0.01375,0.186,0.24325,0.47975,-0.032,0.00850000000000001,0.07525,31.9292,77.1828
627,Chamba,Himachal Pradesh,3.048,18.90575,0,0,0,0.00275,27.19575,0.11375,4.13375,0.00425,0.00125,2.954,0,0.052,2.541,0,0,0.04475,0,0,2.21,0,0.00025,1.19875,0.63725,1.889,0.515,-0.00949999999999997,-0.015,32.6923,76.1632
629,Kangra,Himachal Pradesh,41.30875,153.09325,0.00925,0,0.00925,0.12075,117.07375,0.0125,3.2655,1.8265,0.028,5.91975,0.0105,4.084,2.3825,0,0,2.41225,0,0.0555,7.92675,1.2,0.081,4.08925,2.509,6.6615,1.63675,0.26,3.47225,32.0769,76.2986
630,Kinnaur,Himachal Pradesh,-0.028,0.56275,0,0,0,0.00225,0.37075,0.08925,1.4005,0,0.00525,0.71375,0,0,0.02475,0,0,0,0,0,0.0095,0,0,1.65225,0.3375,2.217,0.2025,-0.05,-0.02075,31.5930,78.3281
631,Kullu,Himachal Pradesh,2.01825,22.0005,0,0,0,0,15.8745,0.124,3.67275,0.04775,0.09625,2.513,0.013,0.00125,0.67575,0,0,0.008,0,0.00325,0.538,0,0,5.61,1.725,7.42725,0.99525,-0.0175,0.004,31.9579,77.1089
632,Lahul & Spiti,Himachal Pradesh,0,0.05275,0.00025,0,0.00025,0,0.0285,0,0.58925,0,0.00375,0.70975,0,0,0.026,0,0,0,0,0,0.0125,0,0,-0.00949999999999998,1.0135,1.05375,0.87325,-0.05,-0.025,31.9292,77.1828
633,Solan,Himachal Pradesh,4.08325,23.724,0.069,0,0.069,0.00225,23.595,0,1.73625,1.2165,0.113,2.7465,0.36525,0.301,0.41675,0,0,0.00575,0,0.015,1.0115,0.215,0.05175,0.54275,1.958,2.5515,0.0635,-0.025,0.78,30.9078,77.1024
634,Mandi,Himachal Pradesh,21.78425,63.48625,0,0,0,0.02625,46.22575,1.41375,4.09875,0.0895,0.00175,4.07025,0.0065,0.05875,0.38575,0,0,0.3695,0,0.28975,0.9225,0.012,0.00075,4.38425,3.54175,7.9765,2.1085,0.04025,0.4745,31.6517,77.0093
635,Shimla,Himachal Pradesh,3.04625,21.24675,0,0,0,0.014,16.812,1.4015,5.09025,0.03625,0.01575,4.591,0.0105,0.0485,0.54575,0,0,0,0,0.01525,0.5455,0.00125,0,19.3305,8.34575,27.812,5.3295,-0.0205,-0.015,31.1040,77.1708
636,Sirmaur,Himachal Pradesh,5.24025,27.07875,0.02025,0,0.02025,0.03125,23.89875,0.375,2.597,0.395,0.005,3.1035,0.03875,0.21875,0.7275,0,0,0.00025,0,0.03575,0.92675,1.1175,0.01125,1.10775,2.24025,3.40675,1.047,0.04175,1.0855,30.6991,77.4465
651,Alappuzha,Kerala,48.971,0,0,0,0,0,0,0.0015,0,0,0,0.24025,0.00025,1.892,0,0,0,0,0,0,53.30525,0.67575,0,15.32625,10.56675,25.89175,0,0,0.12425,9.5003,76.4123
652,Kannur,Kerala,35.0745,0,0.008,0,0.008,0,0,0.00225,0,0,0.0115,1.965,0.0085,0.12,0,0,0,0,0,0,125.9655,0.0335,0,86.796,13.41525,100.21025,0,0,0.278,11.8764,75.3738
653,Eranakulam,Kerala,48.7815,0,0.0025,0,0.0025,0,0,0.01575,0,0,0,1.3155,0,0.91825,0,0,0,0,0,0,59.8905,0.42425,0,25.97825,11.5375,37.51475,0.02825,0,0.288,10.0384,76.5074
655,Kottayam,Kerala,25.402,0,0.00575,0,0.00575,0,0.0005,0.0585,0,0,0.0005,1.46625,0,0.10475,0,0,0,0,0,0,53.62925,1.674,0,27.86775,21.477,49.341,0.114,0.00025,0.8835,9.6287,76.6455
656,Kozhikode,Kerala,22.35325,0,0.00175,0,0.00175,0,0,0.00575,0,0,0.02,0.68775,0,0.0585,0,0,0,0,0,0,117.81825,0.02925,0,39.8925,9.479,49.37075,0,0,0.17775,11.2451,75.7755
657,Malappuram,Kerala,36.12625,0,0.0015,0,0.0015,0,0,0.00475,0,0,0,0.65475,0.00075,1.03475,0,0,0,0,0,0,89.67625,0.03975,0,37.30125,14.45275,51.7525,0,0,0.02825,11.1068,76.1100
658,Palakkad,Kerala,125.4845,0,2.22525,0,2.2455,0,0.00875,0.9055,0,0,0.10225,4.18225,6.5295,0.46225,0,0,0,0,0,0.0005,49.11975,1.9525,4.8025,32.97825,15.84275,48.82125,0.00125,0.00875,0.48925,10.7874,76.4742
659,Kollam,Kerala,27.07625,0,0.0005,0,0.0005,0,0,0.00225,0,0,0,0.9095,0.00025,1.0575,0,0,0,0,0,0,87.4515,0.5545,0,32.34625,39.614,71.95925,0,0,0.3485,8.8871,76.5907
660,Thrissur,Kerala,56.397,0,0.00175,0,0.00175,0,0,0.00725,0,0,0,0.85425,0,0.481,0,0,0,0,0,0,73.64425,0.0165,0,23.49375,6.23,29.7225,0,0,0.06,10.5270,76.2146
661,Thiruvananthapuram,Kerala,13.7405,0,0,0,0,0,0,0.00425,0,0,0,1.3265,0.002,0.00875,0,0,0,0,0,0,76.06525,0.0125,0,23.12975,29.68275,52.81225,0,0,0.14175,8.4882,76.9476
701,Balasore,Orissa,405.4545,2.453,0.0375,0,0.0375,0.00075,1.07075,0.003,0,0.5185,0.46475,61.039,11.995,3.92525,9.72525,0.05425,0.35025,0,0.43575,0.0065,27.22375,1.56225,0.0155,13.20675,56.893,66.47575,0.4535,2.766,-0.3,21.5006,86.9199
702,Bolangir,Orissa,322.05475,3.94475,0.7445,0,0.75575,0,4.6385,5.68325,0,3.43925,11.3405,133.83025,15.59575,24.3855,7.97975,0.13875,0.58025,0.12975,1.322,0.036,51.299,3.688,12.10225,10.23275,47.12775,52.7375,0.20575,6.07575,-0.3,20.7502,83.2499
703,Cuttack,Orissa,523.82425,3.022,0.417,0,0.421,0,4.30125,4.41475,0,0.962,4.573,283.87025,72.01525,8.55125,13.06825,0.0585,0.33375,0.3505,0.57,0.013,95.4005,5.3115,0.02925,29.07875,91.511,114.2455,3.6295,3.68925,-0.3,20.4686,85.8792
704,Dhenkanal,Orissa,222.65,1.5425,0.00925,0,0.00925,0.00625,8.54425,2.1965,0,1.8555,14.41275,145.67825,32.47425,54.88075,8.5655,0.0055,0.97525,0.007,0.25575,0.00975,98.67525,2.567,0.10825,24.5655,45.78975,66.88375,1.07875,4.5165,-0.3,20.8351,85.6022
705,Ganjam,Orissa,305.63825,0.2465,3.052,0,3.19825,1.7395,16.126,58.804,0,0.3195,14.71525,221.77775,29.63075,31.11475,3.87525,0.0255,1.69225,0.0675,0.943,0.011,74.08175,4.528,1.47975,28.92375,50.91775,76.1045,0.40175,1.44825,-0.3,19.6090,84.7081
706,Kalahandi,Orissa,329.54925,2.285,2.346,0,2.37325,0.21,15.467,16.82125,0,12.09425,22.64325,205.87975,20.77775,26.9575,14.9745,1.4605,3.55525,4.2545,1.564,0.05025,89.96775,2.82275,15.491,12.67675,41.193,51.14925,0.11975,3.993,-0.3,19.8266,83.0409
707,Keonjhar,Orissa,203.983,1.5145,0.51075,0,0.518,0.24325,22.096,1.78325,0,2.746,7.089,55.14125,4.4165,6.92275,8.98975,0.024,0.191,2.15225,0.26225,0.0025,41.9785,0.48,0.02925,12.717,37.94725,47.02475,0.35,0.9635,-0.3,21.5000,85.5000
708,Koraput,Orissa,416.2315,1.97475,7.72375,0,7.805,2.63175,70.41975,110.84725,0,6.4,28.71625,111.0615,11.7385,34.521,13.067,0.43275,3.72425,1.8095,0.94825,0.20475,143.64825,8.99975,10.873,47.5145,74.568,115.91625,0.73075,3.855,-0.3,18.7232,82.6101
709,Mayurbhanja,Orissa,328.275,2.11425,0.64475,0,0.64525,0.0505,10.93825,0.48075,0,4.389,7.919,47.01975,5.54625,4.07925,5.511,0.01525,0.38675,6.58725,0.11525,0.00075,37.0125,0.294,0.023,13.01875,37.299,47.836,0.2345,1.87225,-0.3,20.5431,84.6897
710,Phulbani ( Kandhamal ),Orissa,111.49475,0.59575,0.78025,0,0.80025,0.08625,18.45225,5.89625,0,0.5465,10.321,56.63675,2.58025,7.92775,19.323,0.04425,0.3805,0.0185,0.2485,0.00175,51.28175,0.486,0.26975,12.92725,28.16025,38.21475,0.765,1.17125,-0.3,20.4762,84.2349
711,Puri,Orissa,378.4885,0.79525,0.2615,0,0.264,0.005,5.32425,7.39625,0,0.3635,2.00075,188.097,17.95725,10.40175,5.41225,0.038,0.165,1.11125,0.4125,0.005,37.00725,5.495,0.034,36.40175,52.769,85.27725,1.13125,1.6255,-0.3,19.8076,85.8253
712,Sambalpur,Orissa,538.29475,4.07775,0.4245,0,0.42725,0.01375,4.92275,0.66925,0,1.407,4.85525,131.571,38.58575,38.40975,13.44025,0.0215,0.37125,0,0.89375,0.0745,93.41675,2.51325,0.51925,20.711,53.113,70.4585,1.165,4.00275,-0.3,21.5571,84.1529
713,Sundargarh,Orissa,218.49625,3.439,1.42725,0,1.5065,0.15225,6.94775,1.5895,0,3.191,6.44,52.75075,4.8225,14.783,5.6085,0.01975,0.34125,0.81125,0.273,0.12975,32.1635,0.27625,0.0425,13.906,31.00025,42.57725,0.69475,1.51275,-0.3,22.0605,83.9359
800,24 Parganas,West Bengal,676.14,9.96425,0,0,0,0,0.2435,0,0.00475,1.20525,0.10025,28.14175,1.4365,6.6185,34.13475,0.035,0,0.07325,1.99075,0.0665,38.78775,0.7845,0.654,16.40325,82.69525,98.60575,8.47525,0.83825,0.056,22.6927,88.6626
803,Nadia,West Bengal,258.45325,45.818,0.00225,0,0.00225,0,1.60875,0,0.44925,12.0235,0.27425,49.51375,3.91775,13.01775,59.653,0.016,0,0.83775,0.193,0.0045,68.4665,2.403,0.02875,8.955,47.8745,56.713,3.887,0.61475,0.117,23.4847,88.5567
804,Murshidabad,West Bengal,349.1415,103.45875,0.30775,0,0.31575,0.01625,2.5175,0,3.74175,6.821,0.83325,55.20025,0.2855,8.1355,60.2915,0.001,0,0.45925,0.0305,0.00125,58.923,4.91025,0.1155,13.1465,46.7905,59.98275,8.5485,1.00425,0.33875,24.1746,88.2721
805,Burdwan,West Bengal,584.14625,5.15375,0,0.00075,0.00075,0.01,0.27225,0,0.059,0.75325,0.09825,4.98325,1.20225,9.23925,32.37675,0.008,0,0.07975,0.0345,0.0085,41.00125,1.08,0.0985,3.82075,53.27525,57.1815,42.69975,3.31225,-0.17,23.2496,87.8682
806,Birbhum,West Bengal,362.94125,24.64425,0.06675,0,0.0805,0.029,0.423,0,0.22725,7.502,0.061,9.83975,0.135,2.258,30.74175,0.0165,0,0.20175,0.022,0.01975,30.7115,1.48075,0.022,2.26225,29.943,32.1955,11.853,0.8845,-0.0247499999999999,24.0622,87.6983
807,Bankura,West Bengal,379.1175,7.21025,0.0335,0,0.037,0.04225,1.09775,0.002,0.01,0.19525,0.05525,2.549,0.44125,14.249,11.495,0,0,0.09025,0.12275,0.01575,25.577,0.217,0.02225,2.846,35.98975,38.9295,20.45125,0.72125,-0.2365,23.1324,87.2082
810,Hooghly,West Bengal,271.148,2.3105,0.00075,0,0.00075,0.00225,0.081,0,0.00025,0.08,0.0105,2.34925,5.71375,18.47525,9.05675,0,0,0,0.0175,0,29.94925,0.2015,0.025,6.2915,61.994,67.8425,74.0885,4.693,-0.019,22.9099,88.0121
811,Howrah,West Bengal,115.20375,0.454,0,0,0,0,0.04225,0,0,0.0075,0,3.582,1.915,1.70625,1.11975,0,0,0.0015,0.04675,0,4.878,0.048,0.0785,1.2195,11.0445,12.45325,5.94,0.24625,-0.23625,22.5736,88.3251
812,Jalpaiguri,West Bengal,249.5805,16.9535,0,0,0,0,7.41275,0.28025,0.151,0.05875,0.02125,5.83325,1.16,0.97425,8.498,0.011,0,0.6695,0.0315,0.00275,11.24175,0.102,0.02,5.36,37.7635,43.20175,17.70525,0.21325,-0.25,26.6263,88.7334
813,Darjeeling,West Bengal,38.9785,2.465,0,0,0,0,19.5065,7.353,0.15525,0.004,0.0105,1.54725,0.02425,0.17,0.376,0.0005,0,0.11475,0.003,0.3075,0.78075,0.002,0.004,4.9465,12.66875,17.798,6.1425,0.38875,-0.249,27.0378,88.2632
814,Malda,West Bengal,220.61925,40.134,0,0,0,0,9.58575,0,4.0155,6.78875,0.25675,30.08425,0.1305,0.24275,26.4225,0,0,0.32825,0.02525,0.03725,24.3075,2.80675,0.01275,16.51425,28.90325,45.563,2.74775,0.27175,-0.247,25.0057,88.1398
816,Cooch Behar,West Bengal,286.5545,16.72025,0,0,0,0.01125,4.43875,0.022,0.059,0.00375,0.0095,8.877,0.23225,0.53425,10.19,0,0,0.8635,0.06125,0.00475,12.78425,0.0925,0.0315,2.891,35.70225,38.7315,14.82325,0.2515,-0.22675,26.2559,89.4201
817,Purulia,West Bengal,270.931,2.24475,0.0435,0,0.05,0.02975,9.792,0.1945,0.00025,0.30375,0.55875,15.70875,1.244,0.789,1.194,0.0105,0,0.6065,0.0115,0.0135,4.38325,0.43475,0.0165,1.96075,17.3295,19.4845,1.0795,-0.00200000000000001,-0.17525,23.2021,86.3229
818,Midnapur,West Bengal,1030.686,8.67075,0.0055,0,0.006,0.002,1.08825,0.016,0.001,0.1005,0.482,22.22525,15.55825,35.366,17.60475,0.062,0.041,0.0165,0.249,0.01125,59.26675,2.69725,0.16,11.51925,77.785,89.52875,53.2715,2.35675,-0.25,22.4205,87.3219
822,West Dinajpur,West Bengal,457.090294117647,44.3852941176471,0,0.000882352941176471,0.000882352941176471,0,16.0208823529412,0.389411764705882,0.569705882352941,2.34941176470588,0.0152941176470588,15.5676470588235,0.169117647058824,2.21647058823529,55.9241176470588,0.00676470588235294,0,1.06558823529412,0.025,0.00411764705882353,51.5697058823529,0.491470588235294,0.0123529411764706,7.45558823529412,51.555,59.2764705882353,10.3958823529412,0.946764705882353,-0.276470588235294,25.5000,88.5000
901,Champaran,Bihar,430.2335,203.63825,0.10625,0,0.10625,0.045,64.25,1.57975,4.37725,0.6685,5.73125,42.74775,0.05,0.48525,12.3215,0.0095,0.00225,2.539,2.24025,0.00675,12.56525,71.32775,0.003,14.33575,25.91725,40.2505,11.409,1.5215,0.0555,27.0518,84.3351
902,Muzaffarpur,Bihar,320.325,186.134,0.08875,0,0.08875,0.02375,66.70425,4.511,3.0565,1.06525,4.23325,59.55725,0.00975,0.17475,6.78825,0.007,0.00725,0.82975,0.029,0.00175,6.02475,11.08125,0.00575,19.44825,33.608,53.0525,12.53225,1.29675,2.215,26.1483,85.3316
903,Darbhanga,Bihar,360.715,178.52025,0.0365,0,0.0365,0.0545,66.9295,10.565,1.9025,3.4785,3.8495,50.5255,0.00125,0.51075,8.1935,0.07025,0.03525,1.5215,0.093,0.00025,8.554,5.82,0.002,21.942,31.62325,53.5655,13.67475,1.10025,0.79425,26.0830,86.0325
904,Saharsa,Bihar,185.1525,90.43475,0.01525,0,0.01525,0,43.8225,6.029,0.62125,0.329,0.28,59.1965,0.03525,0.2335,3.31375,0.001,0,1.454,2.31675,0,5.50775,0.29675,0,4.80275,10.89075,15.6935,4.6045,0.45975,-0.06875,25.8331,86.6144
905,Purnea,Bihar,458.68675,148.27025,0.31025,0,0.31025,0.018,84.1465,2.43275,2.0695,3.73225,1.1615,50.60675,0.04025,0.53975,13.08825,0.0185,0.002,3.6435,2.98125,0,16.1905,0.58225,0.00825,12.06275,32.648,44.7095,15.567,1.1025,-0.0235,25.7774,87.4731
906,Saran,Bihar,275.33525,263.03825,0.06325,0,0.06325,0.2455,73.39625,3.96925,2.98625,2.52375,7.669,12.01825,0.00675,0.13725,6.84925,0.01475,0.00675,0.44225,0.01175,0.00025,5.69475,24.011,0.01325,9.414,23.56225,32.975,11.49125,0.734,0.15575,25.9214,84.7760
907,Patna,Bihar,200.6675,138.2185,0.059,0,0.059,0.04125,16.57175,0.25975,1.4745,16.59625,1.20175,76.79475,0.11625,0.051,3.89725,0.00825,0.014,0.46825,0.0875,0.0005,3.29525,0.837,0.00075,0.97625,17.10725,18.08375,7.83075,1.2295,2.224,25.6093,85.1235
908,Mungair,Bihar,178.768,177.276,0.12125,0.00325,0.12475,0.008,135.405,0.696,2.64175,12.4695,3.553,42.3735,0.00675,0.10925,10.53125,0.014,0.07275,0.7295,0.7335,0,8.72875,3.1145,0.0005,4.1505,16.37675,20.526,5.3565,0.85925,1.382,25.6441,85.9065
909,Bhagalpur,Bihar,143.2925,64.4845,0.101,0,0.1035,0.011,57.034,0.167,4.95925,8.97575,2.07075,22.877,0.003,0.1445,2.446,0.00125,0.028,1.0585,0.2535,0,3.99075,3.6,0.00275,3.8815,8.19775,12.0785,3.3955,0.19875,0.02975,25.2861,87.1304
910,Santhal Paragana / Dumka,Jharkhand,310.388684210526,19.9013157894737,0.0147368421052632,0,0.0147368421052632,0.403157894736842,35.9381578947368,1.04736842105263,1.28342105263158,7.38473684210526,3.47973684210526,16.7931578947368,0.100789473684211,0.242631578947368,8.28894736842105,0.0323684210526316,0.000526315789473684,0.607631578947368,0.0357894736842105,0.0155263157894737,7.27578947368421,0.166315789473684,0.000263157894736842,0.243947368421053,6.89763157894737,7.14131578947368,4.54684210526316,0.213157894736842,-0.0652631578947368,23.4560,85.2557
911,Shahabad (now part of Bhojpur district),Bihar,475.0205,332.56075,1.70475,0,1.70475,1.76425,5.82075,0.1585,7.337,28.676,4.9575,68.01475,0.08875,0.493,6.57125,0.0405,0,4.08025,0.01475,0.00075,10.715,2.35225,0.0005,5.0255,16.14025,21.16325,7.9645,0.88175,1.5305,25.6441,85.9065
912,Gaya,Bihar,426.17925,201.8095,0.1835,0,0.1835,0.01575,11.85075,1.966,5.2945,19.227,3.98425,71.84575,0.2855,0.68675,3.38125,0.0005,0.01175,6.6985,0.11575,0.00075,11.70525,3.24025,0.0025,0.741,17.72325,18.4625,9.234,0.95175,0.38225,24.7964,85.0080
913,Hazaribagh,Jharkhand,176.098947368421,13.7063157894737,0.0623684210526316,0,0.0623684210526316,0.421315789473684,27.8113157894737,7.59868421052632,0.641315789473684,4.83078947368421,3.26842105263158,8.90973684210527,0.175526315789474,0.359473684210526,3.62473684210526,0.00973684210526316,0.00131578947368421,0.271578947368421,0.00342105263157895,0.0144736842105263,5.10473684210526,1.14315789473684,0,0.101578947368421,14.6663157894737,14.7665789473684,12.1234210526316,0.672105263157895,-0.0784210526315789,24.0867,85.4912
914,Dhanbad,Jharkhand,39.2078947368421,0.621052631578947,0.00473684210526316,0,0.00473684210526316,0.0436842105263158,3.05368421052632,0.497105263157895,0.0534210526315789,0.266578947368421,0.203157894736842,0.847631578947368,0.0131578947368421,0.0210526315789474,0.320526315789474,0,0.000263157894736842,0.00605263157894737,0.0328947368421053,0.00184210526315789,0.112105263157895,0.00289473684210526,0,0.02,1.76552631578947,1.78526315789474,0.274473684210526,0.0307894736842105,-0.0789473684210526,23.7953,86.4310
915,Palamau,Jharkhand,76.6036842105263,18.0194736842105,0.176578947368421,0,0.176578947368421,0.0418421052631579,33.5881578947369,1.80289473684211,4.67631578947369,10.4526315789474,13.5910526315789,13.1557894736842,0.628684210526316,5.64684210526316,5.54552631578947,0.00921052631578947,0.00157894736842105,0.502631578947368,0.0371052631578947,0.0102631578947368,11.4934210526316,0.835526315789474,0.00105263157894737,0.0881578947368421,5.78421052631579,5.87052631578947,3.86368421052632,0.516315789473684,-0.0763157894736842,23.8955,84.2306
916,Ranchi,Jharkhand,398.772894736842,8.51184210526316,0.015,0,0.015,0.152631578947368,10.6163157894737,28.8213157894737,0.176842105263158,3.88578947368421,5.55684210526316,26.68,1.43236842105263,0.25,3.91157894736842,0.0231578947368421,0.00263157894736842,0.21,0.0478947368421053,0.0202631578947368,13.8568421052632,0.0323684210526316,0.00184210526315789,2.56394736842105,23.1242105263158,25.6873684210526,8.60947368421053,0.931842105263158,-0.0705263157894737,23.3701,85.3250
917,Singhbhum,Jharkhand,292.133157894737,1.34921052631579,0.066578947368421,0,0.066578947368421,0.154736842105263,5.24631578947368,0.625,0.00289473684210526,1.66157894736842,1.25289473684211,4.75894736842105,0.0426315789473684,0.128421052631579,1.21263157894737,0.000789473684210526,0.000263157894736842,0.92421052631579,0.0618421052631579,0.0131578947368421,2.25342105263158,0.00789473684210527,0.000263157894736842,0.0218421052631579,4.22210526315789,4.24315789473684,0.369736842105263,0.0386842105263158,-0.0789473684210526,22.5000,85.5000